step,entropy
1244,2.079432
1245,2.079434
1246,2.079441
1247,2.079434
1248,2.07943
1249,2.079439
1250,2.079439
1253,2.079437
1255,2.079439
1258,2.079432
1260,2.07944
1261,2.079439
1263,2.079434
1265,2.079435
1267,2.07944
1269,2.079441
1270,2.079441
1271,2.079439
1274,2.079431
1276,2.079441
1277,2.07944
1278,2.079425
1279,2.07944
1280,2.079438
1282,2.079437
1283,2.079408
1284,2.079438
1285,2.079441
1286,2.079438
1288,2.079189
1289,2.079441
1290,2.079441
1291,2.079434
1292,2.079434
1293,2.079435
1296,2.079387
1297,2.07944
1298,2.079439
1299,2.079439
1300,2.079437
1301,2.079441
1302,2.079441
1303,2.07944
1306,2.079438
1308,2.079441
1309,2.079437
1311,2.079436
1312,2.079441
1315,2.079441
1316,2.07944
1317,2.079441
1320,2.079441
1321,2.079441
1326,2.07944
1329,2.079437
1330,2.079439
1334,2.079433
1345,2.07944
1348,2.07944
1349,2.079441
1350,2.079441
1351,2.079438
1352,2.079441
1356,2.079439
1357,2.079441
1362,2.079441
1366,2.079441
1367,2.079441
1368,2.079441
1370,2.079441
1372,2.07944
1374,2.079437
1375,2.079438
1377,2.07944
1379,2.079439
1380,2.079438
1381,2.079441
1384,2.07944
1385,2.079441
1387,2.079435
1388,2.078781
1389,2.079441
1390,2.079231
1392,2.079441
1393,2.079159
1395,2.079439
1396,2.079441
1399,2.07874
1401,2.079438
1403,2.079207
1404,2.07944
1405,2.07944
1407,2.079441
1408,2.079441
1409,2.079442
1410,2.079441
1411,2.07944
1413,2.079305
1414,2.079441
1416,2.07944
1417,2.07944
1418,2.07944
1419,2.079437
1420,2.079436
1425,2.07944
1426,2.0787
1427,2.07944
1429,2.079441
1430,2.079441
1431,2.07944
1433,2.079441
1434,2.079439
1435,2.079287
1436,2.07944
1438,2.07944
1442,2.079441
1443,2.079441
1444,2.07944
1445,2.079434
1446,2.07881
1450,2.079436
1452,2.079441
1453,2.079441
1455,2.079209
1457,2.079379
1458,2.07944
1461,2.079441
1462,2.079434
1463,2.079441
1464,2.079441
1465,2.079441
1466,2.079441
1467,2.079441
1468,2.079441
1469,2.079437
1471,2.079438
1474,2.07944
1475,2.07944
1478,2.079441
1479,2.079439
1480,2.079441
1481,2.079441
1483,2.079442
1484,2.079441
1485,2.079439
1489,2.07944
1492,2.07944
1493,2.07944
1497,2.079441
1500,2.078724
1502,2.079441
1503,2.079441
1504,2.079424
1505,2.07944
1507,2.07944
1508,2.079441
1510,2.079441
1512,2.079333
1514,2.079442
1516,2.079429
1517,2.079441
1518,2.07944
1519,2.079441
1520,2.079441
1524,2.079441
1525,2.079441
1526,2.079441
1527,2.079419
1528,2.079441
1529,2.079271
1530,2.07944
1533,2.079441
1534,2.079438
1536,2.079439
1538,2.079441
1539,2.079439
1540,2.079441
1541,2.079441
1544,2.079426
1547,2.079441
1548,2.079441
1549,2.079439
1551,2.079441
1553,2.079441
1554,2.079442
1557,2.079437
1558,2.079441
1563,2.079441
1564,2.07944
1565,2.079439
1566,2.079441
1567,2.07944
1568,2.079441
1569,2.079441
1570,2.079441
1572,2.079441
1574,2.079441
1575,2.079441
1577,2.079441
1578,2.07944
1579,2.07944
1580,2.079438
1583,2.079441
1585,2.079442
1586,2.079441
1587,2.079273
1590,2.079442
1591,2.079439
1592,2.079441
1594,2.079442
1595,2.078788
1596,2.079441
1597,2.079441
1600,2.07944
1602,2.07944
1603,2.079435
1604,2.079441
1605,2.079441
1607,2.079438
1608,2.079415
1609,2.079439
1612,2.079441
1613,2.079441
1614,2.079365
1617,2.079441
1620,2.079441
1621,2.079292
1622,2.079441
1624,2.079441
1627,2.07944
1629,2.079441
1630,2.079439
1631,2.079441
1632,2.079442
1633,2.079441
1635,2.079441
1637,2.079441
1638,2.079441
1640,2.079439
1641,2.07944
1648,2.079441
1649,2.079441
1650,2.079441
1652,2.079441
1654,2.079441
1655,2.079441
1657,2.079437
1658,2.079441
1659,2.079441
1661,2.079441
1664,2.079441
1665,2.079441
1666,2.079441
1667,2.079441
1670,2.079441
1671,2.079441
1672,2.079441
1673,2.07937
1674,2.079441
1676,2.079441
1677,2.07944
1678,2.079441
1679,2.079299
1681,2.079441
1682,2.079442
1684,2.07944
1688,2.079441
1689,2.079441
1691,2.079441
1694,2.079441
1697,2.079441
1698,2.079441
1699,2.079436
1700,2.079442
1704,2.079442
1706,2.079441
1707,2.079441
1708,2.079441
1709,2.079438
1710,2.079441
1711,2.079441
1712,2.079441
1713,2.07944
1715,2.07944
1717,2.079441
1718,2.079441
1719,2.079437
1720,2.079441
1721,2.07944
1724,2.079431
1725,2.079441
1726,2.079441
1728,2.079441
1729,2.07919
1731,2.079355
1732,2.07944
1733,2.079439
1734,2.079441
1735,2.079441
1739,2.079441
1740,2.079441
1741,2.07944
1742,2.079439
1743,2.079438
1749,2.079326
1753,2.079441
1754,2.079441
1756,2.079441
1757,2.079282
1759,2.079439
1761,2.079432
1763,2.079441
1765,2.079441
1767,2.079441
1769,2.079441
1770,2.079442
1771,2.07944
1772,2.07944
1773,2.079442
1775,2.079441
1776,2.07944
1777,2.079441
1778,2.079436
1781,2.079441
1782,2.079441
1786,2.079441
1787,2.079439
1788,2.079442
1789,2.079441
1790,2.079441
1791,2.079441
1792,2.07944
1794,2.079442
1797,2.079435
1798,2.079441
1800,2.079441
1803,2.07941
1805,2.07944
1806,2.079404
1807,2.079441
1810,2.079441
1814,2.079436
1817,2.079396
1818,2.079441
1821,2.07944
1822,2.079419
1823,2.079441
1824,2.079442
1828,2.07938
1829,2.07944
1830,2.079441
1831,2.079439
1832,2.079399
1834,2.079441
1835,2.07944
1836,2.078472
1839,2.079441
1842,2.079441
1844,2.079426
1847,2.079442
1848,2.079441
1849,2.079441
1852,2.079442
1854,2.079441
1855,2.079442
1856,2.079435
1858,2.079249
1859,2.079442
1860,2.079441
1861,2.079441
1865,2.079441
1866,2.079441
1868,2.07944
1869,2.079441
1870,2.079441
1872,2.079441
1873,2.07944
1874,2.079438
1875,2.079441
1877,2.079442
1878,2.079441
1879,2.07944
1882,2.079442
1883,2.079439
1885,2.079438
1886,2.079266
1888,2.079271
1889,2.079442
1890,2.079282
1891,2.079442
1893,2.079442
1894,2.078946
1895,2.079259
1897,2.079441
1901,2.079441
1902,2.079441
1903,2.079442
1904,2.079441
1905,2.079442
1907,2.079442
1908,2.079426
1910,2.079442
1913,2.079442
1914,2.079441
1918,2.079441
1919,2.079442
1921,2.079442
1922,2.079442
1928,2.079441
1931,2.079434
1932,2.079442
1933,2.079441
1934,2.079422
1935,2.07944
1937,2.079222
1938,2.079441
1939,2.07944
1946,2.079441
1949,2.079441
1951,2.079441
1953,2.079441
1955,2.07944
1960,2.07944
1961,2.079441
1962,2.079323
1967,2.079438
1970,2.079441
1971,2.079441
1976,2.079439
1977,2.079441
1981,2.079441
1982,2.079183
1984,2.07944
1986,2.07944
1987,2.079267
1988,2.079441
1990,2.079441
1992,2.079436
1993,2.079441
1994,2.079439
1995,2.079441
1997,2.079441
2000,2.079441
2001,2.079441
2002,2.079438
2003,2.07944
2004,2.079441
2005,2.07944
2006,2.079441
2007,2.079441
2009,2.079437
2010,2.079441
2011,2.079433
2013,2.07944
2015,2.079441
2016,2.079441
2017,2.079441
2020,2.079441
2021,2.079439
2022,2.079441
2029,2.07944
2031,2.079441
2032,2.079441
2033,2.079441
2035,2.079421
2037,2.07944
2038,2.079441
2039,2.079439
2040,2.079441
2046,2.079441
2047,2.079441
2048,2.079419
2052,2.07944
2053,2.079441
2054,2.079441
2055,2.079441
2057,2.079441
2058,2.079429
2060,2.079441
2062,2.079442
2063,2.079441
2064,2.079436
2065,2.079441
2069,2.079441
2070,2.079441
2073,2.079442
2075,2.079442
2078,2.079441
2079,2.079436
2081,2.079441
2083,2.079441
2085,2.079441
2088,2.079441
2089,2.079441
2091,2.078998
2092,2.079441
