step,loss,ema,perplexity,id_loss,lr,conf_mean,ent_mean,brier,abstain_ratio,chosen_steps,avg_steps,s_max,inflation_rate,high_step_prob,rule_acc,top5_acc,avg_top1_prob,cloze_transition,gate_pass_60_95,z_lang_norm,z_logic_norm,z_bridge_norm,mem_size,rejector_score,tau_r,coverage,use_autonomous,difficulty_level,composite_score,abstain_cap,force_write_enabled,fw_ce,fw_len_pen
220,3.425,3.1861,30.7229,0.0446,0.00176,0.5444,2.3302,0.1268,1.0,7,8.8,10,1.4667,0.0,0.1967,0.3607,0.2124,1.0,0.0,0.2592,0.2592,0.8438,0,0.0,0.5,0.0,0,0,1.9662,1.0,1,2.5089,0.0
221,0.877,3.0706,2.4037,0.0745,0.001768,0.5732,1.6879,0.0913,1.0,7,8.7919,10,1.4653,0.0,0.8209,1.0,0.7234,1.0,0.0,0.2334,0.2334,0.764,0,0.0,0.5,0.0,0,0,1.2896,1.0,0,0.0,0.0
222,2.8013,3.0572,16.4662,0.0511,0.001776,0.5493,2.3864,0.1061,1.0,7,8.7838,10,1.464,0.0,0.2273,0.5,0.3432,1.0,0.0,0.2069,0.2069,0.6921,0,0.0,0.5,0.0,0,0,1.6516,1.0,0,0.0,0.0
223,2.4188,3.0252,11.2325,0.1427,0.001784,0.562,1.5262,0.0887,1.0,7,8.7758,10,1.4626,0.0,0.2612,0.751,0.2606,0.9487,0.0,0.2421,0.2421,0.6265,0,0.0,0.5,0.0,0,0,0.9562,1.0,0,0.0,0.0
224,1.5906,2.9535,4.9067,0.0574,0.001792,0.5693,1.3161,0.0244,1.0,7,8.7679,10,1.4613,0.0,0.7025,0.9711,0.3301,0.9744,0.0,0.1869,0.1869,0.5816,0,0.0,0.5,0.0,0,0,0.7655,1.0,0,0.0,0.0
225,2.9067,2.9512,18.2971,0.2148,0.0018000000000000002,0.5713,1.9577,0.067,1.0,7,8.76,10,1.46,0.0,0.3037,0.4869,0.3207,1.0,0.125,0.2379,0.2379,0.7518,0,0.0,0.5,0.0,0,0,1.4718,1.0,0,0.0,0.0
226,0.3998,2.8236,1.4915,0.1313,0.0018080000000000001,0.6157,1.1801,0.1122,1.0,7,8.7522,10,1.4587,0.0,0.9496,1.0,0.7563,0.975,1.0,0.1003,0.1003,0.3086,0,0.0,0.5,0.0,0,0,0.3642,1.0,0,0.0,0.0
227,3.9679,2.8808,52.8713,0.3749,0.0018160000000000001,0.5825,3.8487,0.236,1.0,7,8.7445,10,1.4574,0.0,0.0965,0.3475,0.2072,1.0,0.0,0.3532,0.3532,1.131,0,0.0,0.5,0.0,0,0,4.353,1.0,0,0.0,0.0
228,2.7156,2.8725,15.1139,0.0775,0.001824,0.5923,1.5332,0.0781,1.0,7,8.7368,10,1.4561,0.0,0.3273,0.5682,0.373,1.0,0.25,0.1429,0.1429,0.4797,0,0.0,0.5,0.0,0,0,0.7354,1.0,0,0.0,0.0
229,3.0273,2.8803,20.642,0.1737,0.001832,0.5898,2.3551,0.1467,1.0,7,8.7293,10,1.4549,0.0,0.2061,0.3991,0.2551,1.0,0.375,0.223,0.223,0.7424,0,0.0,0.5,0.0,0,0,1.7483,1.0,0,0.0,0.0
