step,stage,shadow_size,shadow_mean_age,shadow_age_p95,shadow_surprise_mean,shadow_surprise_p75,promote_ratio,decay_freq,skip_count,commit_count,merge_count,near_merge_count,mem_size,wm_curr,recall_topk
3000,training,73,203.6301,494,0.0154,0.0201,0.0,0,0,0,0,0,389,389,6
3100,training,66,213.7273,543,0.0231,0.0268,0.0,0,0,0,0,0,410,410,6
3200,training,55,233.4364,643,0.0149,0.0178,0.0,0,0,0,0,0,431,431,6
3300,training,45,279.3778,704,0.0131,0.0175,0.0,0,0,0,0,0,451,451,6
3400,training,84,225.8095,640,0.0181,0.0212,0.0,0,0,0,0,0,472,472,6
3500,training,81,186.0,545,0.0159,0.021,0.0,0,0,0,0,0,492,492,6
3600,training,66,182.5152,438,0.0139,0.0182,0.0,0,0,0,0,0,509,509,6
3700,training,56,178.875,434,0.0161,0.0183,0.0,0,0,0,0,0,527,527,6
3800,training,48,168.3333,414,0.0139,0.0183,0.0,0,0,0,0,0,546,546,6
3900,training,94,159.0,492,0.0191,0.0243,0.0,0,0,0,0,0,566,566,6
4000,training,80,193.1125,582,0.0184,0.0231,0.0,0,0,0,0,0,584,584,6
4100,training,81,194.4815,543,0.0225,0.0236,0.0,0,0,0,0,0,604,604,6
4200,training,80,173.6875,567,0.0246,0.0267,0.0,0,0,0,0,0,625,625,6
4300,training,65,203.6923,542,0.0238,0.0268,0.0,0,0,0,0,0,644,644,6
4400,training,59,255.7288,642,0.0191,0.0236,0.0,0,0,0,0,0,663,663,6
4500,training,53,308.2453,709,0.0171,0.0228,0.0,0,0,0,0,0,681,681,6
4600,training,91,259.1648,783,0.0176,0.0216,0.0,0,0,0,0,0,701,701,6
4700,training,79,295.2911,883,0.0169,0.0233,0.0,0,0,0,0,0,721,721,6
4800,training,69,301.5362,865,0.0167,0.0194,0.0,0,0,0,0,0,741,741,6
4900,training,65,351.5846,965,0.0149,0.0194,0.0,0,0,0,0,0,761,761,6
5000,training,53,472.4151,1065,0.0128,0.0178,0.0,0,0,0,0,0,779,779,6
100,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
200,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
300,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
400,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
500,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
600,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
700,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
800,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
900,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
1000,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
1100,training,74,50.0946,95,0.0569,0.0815,0.0,0,0,0,0,0,28,28,6
1200,training,90,87.7556,194,0.0638,0.0815,0.0,0,0,0,0,0,62,62,6
1300,training,60,137.4667,296,0.0692,0.0912,0.0,0,0,0,0,0,96,96,6
1400,training,86,152.4651,390,0.0482,0.0619,0.0,0,0,0,0,0,127,127,6
1500,training,65,245.9846,490,0.054,0.0695,0.0,0,0,0,0,0,156,156,6
1600,training,92,192.1957,556,0.0527,0.0744,0.0,0,0,0,0,0,187,187,6
1700,training,67,293.7015,657,0.0452,0.0619,0.0,0,0,0,0,0,221,221,6
1800,training,51,259.902,757,0.0477,0.0645,0.0,0,0,0,0,0,244,244,6
1900,training,87,124.7471,600,0.0401,0.0541,0.0,0,0,0,0,0,266,266,6
2000,training,72,165.7083,700,0.0305,0.0407,0.0,0,0,0,0,0,289,289,6
2100,training,58,195.2414,1000,0.0292,0.037,0.0,0,0,0,0,0,310,310,6
2200,training,46,186.6522,860,0.036,0.0459,0.0,0,0,0,0,0,331,331,6
2300,training,84,120.4405,472,0.0278,0.037,0.0,0,0,0,0,0,349,349,6
2400,training,72,138.4306,518,0.0299,0.0392,0.0,0,0,0,0,0,368,368,6
2500,training,60,238.9667,944,0.0241,0.0339,0.0,0,0,0,0,0,388,388,6
2600,training,48,332.2083,1044,0.0223,0.0308,0.0,0,0,0,0,0,406,406,6
2700,training,86,250.9186,800,0.0423,0.0493,0.0,0,0,0,0,0,425,425,6
2800,training,74,349.6351,918,0.0245,0.031,0.0,0,0,0,0,0,446,446,6
2900,training,62,258.2903,1018,0.0499,0.0631,0.0,0,0,0,0,0,464,464,6
3000,training,50,218.14,1118,0.0392,0.0444,0.0,0,0,0,0,0,485,485,6
3100,training,88,151.5682,1040,0.0457,0.0513,0.0,0,0,0,0,0,506,506,6
3200,training,76,128.1842,640,0.0514,0.0676,0.0,0,0,0,0,0,524,524,6
3300,training,64,215.9844,740,0.0498,0.0622,0.0,0,0,0,0,0,544,544,6
3400,training,52,353.3846,900,0.0439,0.0497,0.0,0,0,0,0,0,562,562,6
3500,training,90,245.6889,720,0.0504,0.0677,0.0,0,0,0,0,0,584,584,6
3600,training,77,336.961,1040,0.0399,0.048,0.0,0,0,0,0,0,603,603,6
3700,training,65,443.4923,1140,0.0491,0.0513,0.0,0,0,0,0,0,624,624,6
3800,training,52,415.4038,1240,0.0437,0.0554,0.0,0,0,0,0,0,646,646,6
3900,training,90,299.8667,840,0.0687,0.0944,0.0,0,0,0,0,0,666,666,6
4000,training,77,406.2468,1220,0.078,0.0941,0.0,0,0,0,0,0,687,687,6
4100,training,65,517.9846,1320,0.0502,0.0554,0.0,0,0,0,0,0,705,705,6
4200,training,52,735.0192,1640,0.0389,0.048,0.0,0,0,0,0,0,726,726,6
4300,training,90,481.0667,1240,0.0682,0.0513,0.0,0,0,0,0,0,746,746,6
4400,training,78,600.8718,1620,0.0773,0.0737,0.0,0,0,0,0,0,766,766,6
4500,training,66,584.8939,1720,0.0903,0.1153,0.0,0,0,0,0,0,784,784,6
4600,training,54,411.5,1820,0.0582,0.0766,0.0,0,0,0,0,0,803,803,6
4700,training,92,152.337,946,0.0595,0.076,0.0,0,0,0,0,0,823,823,6
4800,training,80,203.7125,343,0.0705,0.0835,0.0,0,0,0,0,0,842,842,6
4900,training,68,188.8088,346,0.0712,0.0867,0.0,0,0,0,0,0,862,862,6
5000,training,56,297.8929,447,0.0526,0.0715,0.0,0,0,0,0,0,883,883,6
5100,training,94,218.4468,544,0.0474,0.0602,0.0,0,0,0,0,0,903,903,6
5200,training,82,291.8415,644,0.0551,0.0714,0.0,0,0,0,0,0,923,923,6
5300,training,70,388.8429,746,0.0485,0.0602,0.0,0,0,0,0,0,942,942,6
5400,training,58,514.2931,847,0.0472,0.0591,0.0,0,0,0,0,0,961,961,6
5500,training,46,284.6304,893,0.0777,0.0932,0.0,0,0,0,0,0,980,980,6
5600,training,84,68.0476,190,0.1172,0.1494,0.0,0,0,0,0,0,997,997,6
5700,training,72,67.4306,145,0.1347,0.1551,0.0,0,0,0,0,0,1015,1015,6
5800,training,60,154.2,246,0.1416,0.1586,0.0,0,0,0,0,0,1035,1035,6
5900,training,48,263.375,346,0.1102,0.1419,0.0,0,0,0,0,0,1054,1054,6
6000,training,86,203.093,442,0.0851,0.1179,0.0,0,0,0,0,0,1073,1073,6
6100,training,74,292.2568,545,0.1079,0.1387,0.0,0,0,0,0,0,1091,1091,6
6200,training,62,399.4194,645,0.1039,0.1357,0.0,0,0,0,0,0,1110,1110,6
6300,training,50,496.12,746,0.0867,0.1097,0.0,0,0,0,0,0,1130,1130,6
6400,training,88,348.6818,842,0.0963,0.123,0.0,0,0,0,0,0,1149,1149,6
6500,training,76,450.2237,945,0.089,0.1059,0.0,0,0,0,0,0,1167,1167,6
6600,training,64,536.8125,1045,0.0884,0.1179,0.0,0,0,0,0,0,1185,1185,6
6700,training,52,737.0,1146,0.0845,0.1149,0.0,0,0,0,0,0,1206,1206,6
6800,training,90,462.4333,1242,0.0881,0.1201,0.0,0,0,0,0,0,1225,1225,6
6900,training,78,565.641,1345,0.0713,0.0968,0.0,0,0,0,0,0,1242,1242,6
7000,training,66,683.0758,1445,0.0755,0.0965,0.0,0,0,0,0,0,1263,1263,6
7100,training,54,878.7037,1546,0.0797,0.1055,0.0,0,0,0,0,0,1284,1284,6
7200,training,92,436.4565,1642,0.0703,0.0947,0.0,0,0,0,0,0,1304,1304,6
7300,training,80,495.25,1745,0.0771,0.1035,0.0,0,0,0,0,0,1323,1323,6
7400,training,68,410.8382,1845,0.1024,0.1366,0.0,0,0,0,0,0,1342,1342,6
7500,training,56,513.9107,1946,0.079,0.1051,0.0,0,0,0,0,0,1363,1363,6
7600,training,94,364.8298,2042,0.0783,0.1022,0.0,0,0,0,0,0,1381,1381,6
7700,training,82,467.122,2142,0.09,0.1137,0.0,0,0,0,0,0,1401,1401,6
7800,training,70,471.0143,2245,0.0956,0.1137,0.0,0,0,0,0,0,1421,1421,6
7900,training,58,471.8448,2346,0.1241,0.1349,0.0,0,0,0,0,0,1442,1442,6
8000,training,46,673.1739,2446,0.1052,0.1276,0.0,0,0,0,0,0,1462,1462,6
8100,training,82,439.4268,2542,0.1106,0.1349,0.0,0,0,0,0,0,1481,1481,6
8200,training,63,640.9365,2645,0.1336,0.1397,0.0,0,0,0,0,0,1500,1500,6
8300,training,49,537.9388,2745,0.1325,0.1603,0.0,0,0,0,0,0,1517,1517,6
8400,training,87,342.4253,2839,0.119,0.1456,0.0,0,0,0,0,0,1537,1537,6
8500,training,70,319.9714,2927,0.1397,0.1701,0.0,0,0,0,0,0,1558,1558,6
8600,training,47,564.4894,3042,0.1194,0.1526,0.0,0,0,0,0,0,1576,1576,6
8700,training,83,389.2289,3090,0.1663,0.2604,0.0,0,0,0,0,0,1595,1595,6
8800,training,71,514.0986,3227,0.1466,0.1838,0.0,0,0,0,0,0,1614,1614,6
8900,training,59,697.5085,3342,0.1307,0.1643,0.0,0,0,0,0,0,1635,1635,6
9000,training,47,912.0426,3442,0.1048,0.1294,0.0,0,0,0,0,0,1654,1654,6
9100,training,85,572.5176,3490,0.1768,0.2388,0.0,0,0,0,0,0,1673,1673,6
9200,training,72,733.7917,3627,0.1217,0.1526,0.0,0,0,0,0,0,1692,1692,6
9300,training,60,886.6333,3742,0.1068,0.1294,0.0,0,0,0,0,0,1713,1713,6
9400,training,48,1183.8542,3842,0.0995,0.1265,0.0,0,0,0,0,0,1731,1731,6
9500,training,84,740.631,3890,0.1371,0.1707,0.0,0,0,0,0,0,1751,1751,6
9600,training,71,682.169,4027,0.1417,0.1603,0.0,0,0,0,0,0,1772,1772,6
