step,action,reason,sim_max,surprise,surp_norm,entropy,topk,used_key_id,shadow_size,mem_size
492,stage,staged,,,,,6,,57,36,0.3218
493,stage,staged,,,,,6,,58,36,0.2071
495,stage,staged,,,,,6,,59,36,0.3743
497,stage,staged,,,,,6,,60,36,0.1393
498,stage,staged,,,,,6,,61,36,0.3523
504,stage,staged,,,,,6,,62,36,0.3605
507,stage,staged,,,,,6,,63,36,0.3677
508,stage,staged,,,,,6,,64,36,0.3681
509,stage,staged,,,,,6,,65,36,0.1381
512,stage,staged,,,,,6,,66,36,0.1634
513,stage,staged,,,,,6,,67,36,0.1797
531,stage,staged,,,,,6,,68,36,0.2038
534,commit,add,0.3071386218070984,0.7948982119560242,3.222469775658369,2.078953504562378,6,13,68,37
536,commit,add,0.5644755363464355,0.943622961640358,4.0438130344779735,2.057490825653076,6,36,68,38
538,defer,rate_limited,,0.4215174913406372,1.1045748002121794,2.0546681880950928,6,,68,38
538,stage,staged,,,,,6,,69,38,0.0
540,defer,rate_limited,,0.7418412566184998,2.7564599650825645,2.0703349113464355,6,,69,38
540,stage,staged,,,,,6,,70,38,0.0
541,defer,rate_limited,,0.4822682738304138,1.3364585447363986,2.0710816383361816,6,,70,38
541,stage,staged,,,,,6,,71,38,0.0
543,commit,add,0.38793331384658813,0.4861322045326233,1.3525345987402313,2.074972152709961,6,37,71,39
544,stage,staged,,,,,6,,72,39,0.2376
546,stage,staged,,,,,6,,73,39,0.3269
508,promote,shadow_promote,,,,,6,,72,40
551,commit,add,0.4514116644859314,0.5723479092121124,1.7866797523251734,2.0794026851654053,6,17,72,41
553,commit,add,0.41901975870132446,0.5013703107833862,1.3860223416622728,2.0770950317382812,6,38,72,42
554,stage,staged,,,,,6,,73,42,0.0819
557,stage,staged,,,,,6,,74,42,0.0657
562,commit,add,0.44544702768325806,0.8020579069852829,2.715001752127174,2.0793871879577637,6,16,74,43
567,stage,staged,,,,,6,,75,43,0.3131
570,stage,staged,,,,,6,,76,43,0.401
575,stage,staged,,,,,6,,77,43,0.3731
580,stage,staged,,,,,6,,78,43,0.0804
585,commit,add,0.4831547141075134,0.4943265914916992,1.3015365977968472,2.079361915588379,6,31,78,44
586,stage,staged,,,,,6,,79,44,0.2203
593,stage,staged,,,,,6,,80,44,0.2065
594,commit,add,0.5474767088890076,0.5478208065032959,1.5330307051048941,2.0793917179107666,6,0,80,45
595,stage,staged,,,,,6,,81,45,0.2014
597,stage,staged,,,,,6,,82,45,0.2389
570,promote,shadow_promote,,,,,6,,78,46
507,promote,shadow_promote,,,,,6,,78,47
575,promote,shadow_promote,,,,,6,,78,48
546,promote,shadow_promote,,,,,6,,78,49
600,commit,add,0.5807502269744873,0.5035556554794312,1.3253671343898161,2.0790891647338867,6,44,78,50
